06/01/2018,11:20:00 PM,13.47
06/01/2018,11:30:00 PM,13.1
06/01/2018,11:40:00 PM,12.73
06/01/2018,11:50:00 PM,12.45
06/02/2018,12:00:00 AM,12.13
06/02/2018,12:10:00 AM,12.18
06/02/2018,12:20:00 AM,12.16
06/02/2018,12:30:00 AM,12.02
06/02/2018,12:40:00 AM,11.78
06/02/2018,12:50:00 AM,11.61
06/02/2018,01:00:00 AM,11.48
06/02/2018,01:10:00 AM,11.66
06/02/2018,01:20:00 AM,11.78
06/02/2018,01:30:00 AM,11.63
06/02/2018,01:40:00 AM,11.86
06/02/2018,01:50:00 AM,12.71
06/02/2018,02:00:00 AM,12.94
06/02/2018,02:10:00 AM,12.96
06/02/2018,02:20:00 AM,12.78
06/02/2018,02:30:00 AM,12.48
06/02/2018,02:40:00 AM,12.1
06/02/2018,02:50:00 AM,11.82
06/02/2018,03:00:00 AM,11.71
06/02/2018,03:10:00 AM,11.49
06/02/2018,03:20:00 AM,11.73
06/02/2018,03:30:00 AM,12.07
06/02/2018,03:40:00 AM,12.41
06/02/2018,03:50:00 AM,12.84
06/02/2018,04:00:00 AM,13.12
06/02/2018,04:10:00 AM,13.14
06/02/2018,04:20:00 AM,12.89
06/02/2018,04:30:00 AM,12.7
06/02/2018,04:40:00 AM,12.61
06/02/2018,04:50:00 AM,12.29
06/02/2018,05:00:00 AM,11.88
06/02/2018,05:10:00 AM,11.44
06/02/2018,05:20:00 AM,11.07
06/02/2018,05:30:00 AM,10.79
06/02/2018,05:40:00 AM,10.64
06/02/2018,05:50:00 AM,10.88
06/02/2018,06:00:00 AM,11.53
06/02/2018,06:10:00 AM,12.34
06/02/2018,06:20:00 AM,13.04
06/02/2018,06:30:00 AM,13.31
06/02/2018,06:40:00 AM,13.54
06/02/2018,06:50:00 AM,14.1
06/02/2018,07:00:00 AM,14.96
06/02/2018,07:10:00 AM,15.89
06/02/2018,07:20:00 AM,17.07
06/02/2018,07:30:00 AM,17.75
06/02/2018,07:40:00 AM,18.06
06/02/2018,07:50:00 AM,18.51
06/02/2018,08:00:00 AM,19.33
06/02/2018,08:10:00 AM,20.08
06/02/2018,08:20:00 AM,20.62
06/02/2018,08:30:00 AM,20.75
06/02/2018,08:40:00 AM,21.01
06/02/2018,08:50:00 AM,21.24
06/02/2018,09:00:00 AM,21.34
06/02/2018,09:10:00 AM,21.39
06/02/2018,09:20:00 AM,21.86
06/02/2018,09:30:00 AM,22.61
06/02/2018,09:40:00 AM,22.98
06/02/2018,09:50:00 AM,23.39
06/02/2018,10:00:00 AM,23.54
06/02/2018,10:10:00 AM,23.56
06/02/2018,10:20:00 AM,23.67
06/02/2018,10:30:00 AM,23.71
06/02/2018,10:40:00 AM,23.98
06/02/2018,10:50:00 AM,24.43
06/02/2018,11:00:00 AM,24.54
06/02/2018,11:10:00 AM,24.38
06/02/2018,11:20:00 AM,24.74
06/02/2018,11:30:00 AM,25.63
06/02/2018,11:40:00 AM,25.79
06/02/2018,11:50:00 AM,26.15
06/02/2018,12:00:00 PM,25.91
06/02/2018,12:10:00 PM,25.14
06/02/2018,12:20:00 PM,25.53
06/02/2018,12:30:00 PM,26.03
06/02/2018,12:40:00 PM,25.55
06/02/2018,12:50:00 PM,25.58
06/02/2018,01:00:00 PM,24.97
